Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,5,0.9099999999999999,0.01,0.3304440076604786
75% Corpus,5,0.9099999999999999,0.31,0.3336743923992992
75% Corpus,5,0.9099999999999999,0.61,0.3421156055949156
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.3342981546773374
75% Corpus,5,0.9099999999999999,symmetric,0.33407236678844765
75% Corpus,5,symmetric,0.01,0.3668960021475221
75% Corpus,5,symmetric,0.31,0.35542797553040667
75% Corpus,5,symmetric,0.61,0.3443510621694622
75% Corpus,5,symmetric,0.9099999999999999,0.3491068821246759
75% Corpus,5,symmetric,symmetric,0.3520320044554296
75% Corpus,5,asymmetric,0.01,0.3733932471466642
75% Corpus,5,asymmetric,0.31,0.38710899415493866
75% Corpus,5,asymmetric,0.61,0.3874786240141839
75% Corpus,5,asymmetric,0.9099999999999999,0.43486103868960024
75% Corpus,5,asymmetric,symmetric,0.3712310937165757
75% Corpus,6,0.01,0.01,0.37246462947472
75% Corpus,6,0.01,0.31,0.3672366599515593
75% Corpus,6,0.01,0.61,0.384480000155705
75% Corpus,6,0.01,0.9099999999999999,0.3888301462704585
75% Corpus,6,0.01,symmetric,0.38328299576625824
75% Corpus,6,0.31,0.01,0.3804084701006249
75% Corpus,6,0.31,0.31,0.3841966644287423
75% Corpus,6,0.31,0.61,0.36878165648437483
75% Corpus,6,0.31,0.9099999999999999,0.3606499151609213
75% Corpus,6,0.31,symmetric,0.37630620913985896
75% Corpus,6,0.61,0.01,0.34353516925222793
75% Corpus,6,0.61,0.31,0.3595680157210026
75% Corpus,6,0.61,0.61,0.35618847928533165
75% Corpus,6,0.61,0.9099999999999999,0.3437064425782958
75% Corpus,6,0.61,symmetric,0.3519860204212005
75% Corpus,6,0.9099999999999999,0.01,0.3117867311199352
75% Corpus,6,0.9099999999999999,0.31,0.3374216732939355
75% Corpus,6,0.9099999999999999,0.61,0.32906518095507314
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.33243351226192147
75% Corpus,6,0.9099999999999999,symmetric,0.33493384354423394
75% Corpus,6,symmetric,0.01,0.3572529969222303
75% Corpus,6,symmetric,0.31,0.3446271295166505
75% Corpus,6,symmetric,0.61,0.34725736210572644
75% Corpus,6,symmetric,0.9099999999999999,0.3598776189612181
75% Corpus,6,symmetric,symmetric,0.3591008224346524
75% Corpus,6,asymmetric,0.01,0.40235116197147064
75% Corpus,6,asymmetric,0.31,0.3645330643677256
75% Corpus,6,asymmetric,0.61,0.3955848111413027
75% Corpus,6,asymmetric,0.9099999999999999,0.3634651550665671
75% Corpus,6,asymmetric,symmetric,0.41020880194611986
75% Corpus,7,0.01,0.01,0.36656221830474783
